Gender,Age,Debt,Married,BankCustomer,Job,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,53.94,0.0,0,1,4,Black,3.265,1,1,0,0,ByBirth,0,0,1
1,13.75,0.0,1,1,4,Asian,4.798,1,1,0,0,ByBirth,510,0,1
1,38.52,0.0,1,1,9,Asian,17.532,1,1,0,0,ByBirth,0,0,1
1,24.89,0.612,1,1,7,White,4.504,1,1,0,0,ByBirth,560,0,1
1,29.86,0.0,0,1,9,Black,4.208,1,1,0,0,ByBirth,80,0,1
1,34.79,8.308,1,1,4,White,19.439,1,1,0,0,ByBirth,100,0,1
1,25.49,10.846,1,1,7,White,3.696,1,0,0,0,ByBirth,360,0,1
1,67.37,1.887,1,1,4,White,14.294,1,0,0,0,ByBirth,0,0,1
1,26.02,5.059,1,1,4,White,4.959,1,1,0,0,ByBirth,160,140,1
1,52.57,2.719,1,1,8,White,5.818,1,1,0,0,ByBirth,80,16,1
1,13.86,3.643,0,1,8,Black,7.333,1,1,0,0,Temporary,128,0,1
1,31.83,2.428,0,1,3,White,3.043,1,0,0,0,ByBirth,383,0,1
1,49.79,0.672,1,1,13,Black,4.392,1,1,0,0,ByBirth,230,0,1
1,59.26,0.425,1,1,4,Black,6.511,1,0,0,0,ByBirth,100,46,1
1,26.68,5.739,1,1,2,White,4.225,0,1,0,0,ByBirth,181,37,1
1,62.42,0.0,1,1,4,White,3.264,1,0,0,0,ByBirth,260,0,1
1,55.33,0.0,1,1,5,White,3.293,1,0,0,0,ByBirth,120,0,1
1,75.79,0.0,1,1,0,White,5.147,1,1,0,0,ByBirth,100,0,1
1,70.98,0.0,0,1,8,Black,9.98,1,1,0,0,ByBirth,120,0,1
1,20.89,0.374,1,1,0,White,2.906,1,1,0,0,ByBirth,160,0,1
1,33.13,0.0,1,1,7,White,9.751,1,1,0,0,ByBirth,400,0,1
1,21.78,1.721,1,1,5,Black,3.359,1,0,0,0,ByBirth,80,0,1
1,20.19,0.0,1,1,13,White,5.936,1,0,0,0,ByBirth,487,96,1
1,27.85,0.0,1,1,4,Black,6.77,1,1,0,0,ByBirth,80,0,1
1,39.07,1.308,1,1,4,Black,6.254,1,0,0,0,ByBirth,0,0,1
1,25.87,0.449,1,1,4,White,3.572,1,0,0,0,ByBirth,220,0,1
1,23.17,3.582,0,1,13,White,3.27,1,0,0,0,ByBirth,560,0,1
1,30.53,1.902,1,1,9,Asian,3.805,1,1,0,0,ByBirth,0,54,1
1,65.98,5.701,1,1,13,Asian,3.732,1,0,0,0,ByOtherMeans,320,0,1
1,25.31,1.44,0,1,13,Asian,10.767,0,1,0,0,ByBirth,0,0,1
1,53.69,3.764,1,1,0,White,7.352,1,1,0,0,ByBirth,88,0,1
1,17.05,1.979,1,1,0,White,27.84,1,1,0,0,ByBirth,204,87,1
1,28.67,3.953,1,1,9,Black,2.985,1,0,0,0,ByBirth,195,0,1
1,14.52,0.71,1,1,7,Other,3.265,0,1,0,0,ByBirth,0,0,1
1,43.63,1.049,1,1,8,White,3.567,1,0,0,0,ByBirth,154,0,1
1,42.34,0.0,1,1,4,Black,10.872,1,0,0,0,ByBirth,70,0,1
1,32.78,3.57,1,1,7,White,4.066,1,0,0,0,ByBirth,0,0,1
1,18.56,4.752,0,1,13,White,3.929,1,1,0,0,ByBirth,370,0,1
1,43.83,0.0,1,1,10,Asian,4.266,1,1,0,0,ByBirth,180,0,1
1,20.01,0.0,1,1,10,White,6.654,1,1,0,0,ByBirth,0,0,1
1,49.38,1.361,1,1,4,White,13.55,1,0,0,0,ByBirth,80,0,1
1,25.66,1.404,1,1,8,Other,3.396,1,1,0,0,ByBirth,0,0,1
